owner,title,desc,address,city,state,zip,uploadedPhotos,perks,availabilities
cberzatto,Open room near SJSU campus,"Our spacious apartment is located in a quiet, leafy suburb. Students will enjoy a private room, high-speed internet, and a tranquil study environment. We offer a friendly and welcoming atmosphere with shared meals and family activities",2468 Ruby Ave,San Jose,California,95148,grad8.jpg,Kitchen Access+Groceries provided,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
tturner,Senator renting out rooms to students who require it,Your senator has decided to help with student housing by personally making some of her properties available,5629 Cahalan Ave,San Jose,California,95123,grad7.jpg,Airport pickup+Groceries provided,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
cmatthews,Beautiful Layout and Easy access to downtown,"Enjoy the best of both worlds with our suburban home located just a short commute from the city center. Students will have a private room, access to a home library, and a quiet study space. We provide a warm and supportive family environment.",88 E San Carlos St,San Jose,California,95112,grad6.jpg,Airport pickup,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
mbrooks,Apartment empty while I am studying abroad!,Completely empty!,"5791 Santa Teresa Blvd,",San Jose,California,95123,grad5.jpf,Pets allowed+Kitchen Access+Groceries provided,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
jsadecki,Renting out spare room,"Very convenient, spend time with a host family!","7890 Curtner Ave,",San Jose,California,95224,grad4.jpg,Groceries provided,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
mquigley,Always open for buddies!,I have group dinner every night! Must be okay with parrots.,8765 McKee Rd,San Jose,California,95127,grad3.jpg,Groceries provided+Kitchen Access,"2024-06-01,2024-06-20, + 2024-07-01,2024-07-20, + 2024-08-01,2024-08-20, + 2024-09-01,2024-09-20,"
phuynh,Room available at Miro apartments,"Located in a lively neighborhood with plenty of cultural attractions, our home offers a private room, shared kitchen, and living space. Students will benefit from the vibrant community, diverse dining options, and easy access to public transportation.",3456 Branham Ln,San Jose,California,95136,grad1.jpg,Private Bedroom+Kitchen Access,"2024-05-01,2024-05-15,800 + 2024-05-16,2024-05-30,900 + 2024-06-01,2024-06-10,600 + 2024-06-30,2024-07-30,1819"
tturner,All students welcome,Your senator has decided to help with student housing by personally making some of her properties available,9123 Berryessa Rd,San Jose,California,95133,julian7.png,Airport dropoff+Pets allowed,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
cmatthews,The most beautiful room in the world,"Our urban loft is a blend of modern design and comfort, located in a dynamic part of the city. Students will have a private bedroom, access to a fully-equipped kitchen, and a cozy living area. The neighborhood is rich with cafes, parks, and cultural venues.","7482 Monterey Rd,",San Jose,California,95111,miro6.png,Airport dropoff+Private Bedroom,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
cmatthews,A once in a lifetime stay,"Stay in our charming rural home, where students can enjoy a spacious private room, a dedicated study area, and homemade meals. The quiet countryside setting provides an ideal atmosphere for focused study and relaxation.",5432 Senter Rd,San Jose,California,95111,julian1.png,Private Bedroom+Kitchen Access+Groceries Provided,"2024-05-01,2024-05-15, + 2024-05-16,2024-05-30, + 2024-06-01,2024-06-10, + 2024-06-30,2024-07-30,"
